Filename	Title	Year	Authors
10.txt	The King James Bible	2011	Unknown
1001.txt	Divine Comedy, Longfellow's Translation, Hell	1997	Dante Alighieri
1005.txt	Hell	2004	Dante Alighieri
1006.txt	The Divine Comedy of Dante:  Purgatory	2004	Dante Alighieri
1007.txt	The Divine Comedy of Dante:  Paradise	2004	Dante Alighieri
101.txt	Hacker Crackdown	1994	Bruce Sterling
1013.txt	The First Men In The Moon	2004	H. G. Wells
1014.txt	The Lure of the Dim Trails	1997	B. M. Bower
1015.txt	The Oregon Trail	2006	Francis Parkman, Jr.
1016.txt	On the Improvement of the Understanding	1997	Baruch Spinoza
1019.txt	Poems	1997	Currer, Ellis;Acton Bell
102.txt	The Tragedy of Pudd'nhead Wilson	1994	Mark Twain
1020.txt	Sword Blades and Poppy Seed	1997	Amy Lowell
1021.txt	The Congo and Other Poems	1997	Vachel Lindsay
1023.txt	Bleak House	1997	Charles Dickens
1024.txt	The Wrecker	2006	Robert Louis Stevenson;Lloyd Osbourne
1027.txt	The Lone Star Ranger	1997	Zane Grey
1029.txt	The Night-Born	1997	Jack London
103.txt	Around the World in 80 Days	2008	Jules Verne
1032.txt	The Pupil	2010	Henry James
1033.txt	Rose O' the River	2006	Kate Douglas Wiggin
1034.txt	Poems	1997	Wilfred Owen
1035.txt	The Man Against the Sky	2008	Edwin Arlington Robinson
1036.txt	Joe Wilson and His Mates	1997	Henry Lawson
1037.txt	The Life of John Bunyan	2005	Edmund Venables
1039.txt	Missionary Travels and Researches in South Africa	2006	David Livingstone
104.txt	Franklin Delano Roosevelt's First Inaugural Address	2008	Franklin Delano Roosevelt
1040.txt	The Three Taverns	1997	Edwin Arlington Robinson
1041.txt	Shakespeare's Sonnets	1997	William Shakespeare
1043.txt	The Story of Evolution	1997	Joseph McCabe
1045.txt	Venus and Adonis	1997	William Shakespeare
1046.txt	God The Invisible King	2006	Herbert George Wells
1047.txt	The New Machiavelli	1997	Herbert George Wells
1048.txt	The Ruling Passion	1997	Henry van Dyke
1049.txt	Vanished Arizona	1997	Martha Summerhayes
105.txt	Persuasion	2008	Jane Austen
1050.txt	Dark Lady of the Sonnets	2008	George Bernard Shaw
1051.txt	Sartor Resartus	1997	Thomas Carlyle
1052.txt	Step by Step	1997	The American Tract Society
1053.txt	Within the Tides	2011	Joseph Conrad
1056.txt	Martin Eden	2004	Jack London
1059.txt	The World Set Free	2006	Herbert George Wells
106.txt	Jungle Tales of Tarzan	2008	Edgar Rice Burroughs
1061.txt	Myths and Myth-Makers	1997	John Fiske
1062.txt	First Gutenberg Collection of Edgar Allan Poe	1997	Edgar Allan Poe
1063.txt	The Cask of Amontillado	2010	Edgar Allan Poe
1064.txt	The Masque of the Red Death	2010	Edgar Allan Poe
1065.txt	The Raven	2010	Edgar Allan Poe
1067.txt	Personal Memoirs of U. S. Grant, Volume One	2004	Ulysses S. Grant
1068.txt	Personal Memoirs of U. S. Grant, Volume Two	2004	Ulysses S. Grant
1069.txt	Nana, The Miller's Daughter, Captain Burle, Death of Olivier Becaille	2006	Emile Zola
107.txt	Far from the Madding Crowd	1994	Thomas Hardy
1076.txt	The Wallet of Kai Lung	1997	Ernest Bramah
1077.txt	The Mirror of Kong Ho	1997	Ernest Bramah
1078.txt	The Scouts of the Valley	1997	Joseph A. Altsheler
1079.txt	The Life and Opinions of Tristram Shandy, Gentleman	1997	Laurence Sterne
108.txt	The Return of Sherlock Holmes	2007	Arthur Conan Doyle
1080.txt	A Modest Proposal	1997	Jonathan Swift
1083.txt	The Arrow of Gold	2009	Joseph Conrad
1085.txt	The Life of John Sterling	1997	Thomas Carlyle
1087.txt	Baartock	1997	Lewis Roth
